GOVT HIGHER SCHOOL BARDAYA,,BARDIYA,22012007405,,
GOVT.PRIMARY SCHOOL NANDBHAN,,NANDMAN,22012007601,,
GOVT.PRIMARY SCHOOL .K. DEVKHOL,,DEVKHOL,22012007701,,
GOVT.PRIMARY SCHOOL MURMA,,MURMA,22012007801,,
GOVT.MIDDILE SCHOOL MURMA,,MURMA,22012007802,,
GOVT.PRIMARY SCHOOL FARIKAPANI,,MURMA,22012007803,,
GOVT.PRIMARY SCHOOL BESARJHARIYA,,MURMA,22012007804,,
GOVT.PRIMARY SCHOOL BAIGAPARA,,MURMA,22012007805,,
GOVT.PRIMARY SCHOOL PANDOPARA,,MURMA,22012007806,,
GOVT.MIDDILE SCHOOL BESARJHARIYA,,MURMA,22012007807,,
GOVT. MIDDILE SCHOOL FARIKAPANI,,MURMA,22012007808,,
GOVT.PRIMARY SCHOOL BOYS ASHRAM MURMA,,MURMA,22012007809,,
GOVT.HIGH SCHOOL MURMA,,MURMA,22012007810,,
GOVT.PRIMARY SCHOOL. KARHIYAKHAND,,KARHIYA KHAND,22012007901,,
GOVT.MIDDILE SCHOOL KARHIYAKHAND,,KARHIYA KHAND,22012007902,,
GOVT.PRIMARY SCHOOL PUTA,,PUTA GANESHPUR,22012008001,,
GOVT.PRIMARY SCHOOL ANGA,,ANGA,22012008101,,
GOVT.PRIMARY SCHOOL  PATELPARA (ANGA),,ANGA,22012008102,,
GOVT.PRIMARY SCHOOL PANDOPARA,,ANGA,22012008103,,
GOVT.MIDDILE SCHOOL ANGA,,ANGA,22012008104,,
GOVT.HIGH SCHOOL ANGA,,ANGA,22012008106,,
GOVT.PRIMARY BOY SCHOOL RANAI,,RANAI (BAASPARA),22012008201,,
GOVT.PRIMARY SCHOOL BANSPARA,,RANAI (BAASPARA),22012008203,,
GOVT.MIDDILE SCHOOL BOY RANAI,,RANAI (BAASPARA),22012008204,,
GOVT.MIDDILE SCHOOL BANSPARA,,RANAI (BAASPARA),22012008206,,
GOVT.PRIMARY SCHOOL PIPARA,,PIPRA,22012008301,,
GOVT.PRIMARY SCHOOL UPARPARA,,PIPRA,22012008302,,
GOVT.MIDDILE SCHOOL PIPRA,,PIPRA,22012008303,,
GOVT.PRIMARY SCHOOL ANJOKHURD,,ANJOKHORD,22012008401,,
GOVT.MIDDILE SCHOOL ANJOKHURD,,ANJOKHORD,22012008402,,
GOVT.HIGHER SECONDARY SCHOOL ANJOKHURD,,ANJOKHORD,22012008404,,
GOVT.PRIMARY SCHOOL ANJOKALA,,ANJOKALA,22012008501,,
GOVT.PRIMARY SCHOOL JAMADI,,JAMADI,22012008601,,
GOVT.PRIMARY SCHOOL URANWPARA,,JAMADI,22012008602,,
GOVT.MIDDILE SCHOOL URAOPARA,,JAMADI,22012008603,,
GOVT.PRIMARY BOY SCHOOL DUMARIYA,,DUMRIYA(KHALPARA),22012008701,,
GOVT.PRIMARY SCHOOL SARNAPARA,,DUMRIYA(KHALPARA),22012008703,,
GOVT.PRIMARY SCHOOL GIRL KUDELI,,KUDELI,22012008802,,
GOVT. MIDDILE SCHOOL BOY KUDELI,,KUDELI,22012008804,,
GOVT.PRIMARY SCHOOL AHIRAPARA,,KUDELI,22012008805,,
GOVT.MIDDILE SCHOOL KUDELI,,KUDELI,22012008807,,
GOVT HIGHER SECONDARY SCHOOL KUDELI,,KUDELI,22012008808,,
GOVT.PRIMARY SCHHOL SARBHOKA,,SARBHOKA,22012008901,,
GOVT.PRIMARY SCHOOL BASANPARA,,SARBHOKA,22012008902,,
GOVT.PRIMARY SCHOOL GOLHASARAI,,SARBHOKA,22012008903,,
GOVT.PRIMARY SCHOOL JALBHATAPARA,,SARBHOKA,22012008904,,
GOVT.MIDDILE SCHOOL BASANPARA,,SARBHOKA,22012008906,,
GOVT.PRIMARY SCHOOL BANDHPARA,,BANDHPARA,22012009001,,
GOVT.PRIMARY SCHOOL AMAPARA,,AMAPARA,22012009101,,
GOVT.PRIMARY SCHOOL JAIPUR,,JAIPUR,22012009201,,
GOVT.MIDDILE SCHOOL JAIPUR,,JAIPUR,22012009202,,
GOVT.PRIMARY SCHOOL RAGHUBIRPUR,,KADAMNARA,22012009301,,
GOVT.PRIMARY SCHOOL KADAMNARA,,KADAMNARA,22012009302,,
GOVT PRIMARY SCHOOL GOLHAGHAT,,KADAMNARA,22012009303,,
GOVT.PRIMARY SCHOOL JOBAPARA,,KADAMNARA,22012009304,,
GOVT.PRIMARY SCHOOL CHARPARA,,CHARPARA,22012009401,,
GOVT.PRIMARY SCHOIOL DHAVAIPARA,,CHARPARA,22012009402,,
GOVT.PRIMARY SCHOOL  BHAKHAR,,BHAKHAR,22012009501,,
GOVT.PRIMARY SCHOOL BADGAON,,BHAKHAR,22012009502,,
GOVT.MIDDILE SCHOOL BHAKHAR,,BHAKHAR,22012009503,,
GOVT HIGHER SECONDARY  SCHOOL BHAKHAR,,BHAKHAR,22012009505,,
GOVT.MIDDILE SCHOOL BADGAON,,BADGAON,22012009601,,
GOVT.PRIMARY SCHOOL PATRAPALI,,PATRAPALI,22012009701,,
GOVT.PRIMARY SCHOOL CHOPAN,,CHOPAN,22012009801,,
GOVT.MIDDILE SCHOOL CHOPAN,,CHOPAN,22012009802,,
GOVT.PRIMARY SCHOOL MODIPARA,,MODIPARA,22012009901,,
GOVT.MIDDILE SCHOOL MODIPARA,,MODIPARA,22012009902,,
GOVT.PRIMARY SCHOOL DEVRI,,DEVRI,22012010001,,
GOVT.PRIMARY SCHOOL MUDIGHIRIYA,,MUDIGHARIYA,22012010101,,
GOVT.MIDDILE SCHOOL MUDIJHARIYA,,MUDIGHARIYA,22012010102,,
GOVT.PRIMARY SCHOOL KOT,,KOT,22012010201,,
GOVT.PRIMARY SCHOOL PARSAPANI,,KOT,22012010202,,
GOVT.MIDDILE SCHOOL KOT,,KOT,22012010203,,
GOVT.PRIMARY SCHOOL JAMPANI,,JAMPANI,22012010301,,
GOVT.MIDDILE SCHOOL JAMPANI,,JAMPANI,22012010302,,
GOVT.PRIMARY SCHOOL PATELPARA (JAMPANI),,JAMPANI,22012010303,,
GOVT.HIGH SCHOOL JAMPANI,,JAMPANI,22012010304,,
GOVT.PRIMARY SCHOOL BISHUNPUR,,JUNAPARA,22012010501,,
GOVT.PRIMARY SCHOOL JUNAPARA,,JUNAPARA,22012010502,,
GOVT.PRIMARY SCHOOL UPERPARA  BISHUNPUR,,JUNAPARA,22012010503,,
GOVT.MIDDILE SCHOOL T.W.D. BISHUNPUR,,JUNAPARA,22012010505,,
GOVT.PRIMARY SCHOOL RATANGA,,RATANGA,22012010601,,
GOVT.MIDDILE SCHOOL RATANGA,,RATANGA,22012010602,,
GOVT.PRIMARY SCHOOL PAHADPARA,,PAHADPARA,22012010701,,
GOVT PRIMARY GIRLS  ASHRAM PAHADPARA,,PAHADPARA,22012010702,,
GOVT.PRIMARY SCHOOL DUDHANIYA,,DUDHANIYA,22012010801,,
GOVT.PRIMARY SCHOOL PHOOLPUR,,PHULPUR,22012010901,,
GOVT.PRIMARY SCHOOL PARSAPANI (FULPUR),,PHULPUR,22012010902,,
GOVT.PRIMARY SCHOOL NAGAR,,NAGAR,22012011001,,
GOVT. MIDDILE SCHOOL NAGAR,,NAGAR,22012011002,,
GOVT.PRIMARY SCHOOL BAZARPARA,,NAGAR,22012011003,,
GOVT HIGHER SECONDARY SCHOOL NAGAR,,NAGAR,22012011006,,
GOVT.PRIMARY SCHOOL UMJHAR,,UMJHAR,22012011101,,
GOVT.MIDDILE SCHOOL UMJHAR,,UMJHAR,22012011102,,
GOVT.PRIMARY SCHOOL TILWANDAND,,TILVANDAND,22012011201,,
GOVT.PRIMARY SCHOOL JAMGAHNA,,JAMGAHANA,22012011301,,
GOVT.MIDDILE SCHOOL TWD JAMGAHNA,,JAMGAHANA,22012011302,,
GOVT HIGHER SECONDARY SCHOOL JAMGAHNA,,JAMGAHANA,22012011303,,
GOVT.PRIMARY SCHOOL MANPUR,,MAHORA,22012011401,,
GOVT.PRIMARY SCHOOL MAHORA,,MAHORA,22012011402,,
GOVT.MIDDILE SCHOOL MAHORA,,MAHORA,22012011404,,
GOVT.PRIMARY SCHOOL HATHVAR,,HATHVAR,22012011501,,
GOVT.PRIMARY SCHOOL DAKAIPARA,,DAKAIPARA,22012011601,,
GOVT.MIDDILE SCHOOL DAKAIPARA,,DAKAIPARA,22012011602,,
GOVT.PRIMARY SCHOO EMLIPARA,,DAKAIPARA,22012011603,,
GOVT.PRIMARY SCHOOL DABRIPARA,,DABARIPARA,22012011701,,
GOVT MIDDILE SCHOOL DABRIPARA,,DABARIPARA,22012011703,,
GOVT.PRIMARY SCHOOL WARD NO-7 TARGAVA,,TARGAVA,22012011802,,
GOVT.PRIMARY SCHOOL BOY TARGAVA,,TARGAVA,22012011803,,
GOVT.MIDDILE SCHOOL TARGAVA,,TARGAVA,22012011805,,
GOVT HIGHER SECONDARY SCHOOL TARGAVA,,TARGAVA,22012011806,,
GOVT.PRIMARY SCHOOL KHODRI,,KHODARI,22012011901,,
GOVT.PRIMARY SCHOOL MAHUAPARA,,KHANDA,22012012001,,
GOVT.PRIMARY SCHOOL CHITKAHIPARA,,KHANDA,22012012002,,
GOVT.MIDDILE SCHOOPL KHANDA,,KHANDA,22012012003,,
GOVT.PRIMARY GIRLS ASHRAM KHANDA,,KHANDA,22012012004,,
GOVT.PRIMARY SCHOOL KOTAKTA;L,,KOTAKTAL,22012012101,,
GOVT.PRIMARY SCHOOL  RAJWARIPARA,,KOTAKTAL,22012012102,,
GOVT.MIDDILE SCHOOL KOTAKTAL,,KOTAKTAL,22012012103,,
GOVT.PRIMARY SCHOOL POTEDAND,,POTEDAND,22012012201,,
GOVT.MIDDILE SCHOOL POTEDAND,,POTEDAND,22012012202,,
GOVT.PRIMARY SCHOOL MANSUKH,,MANSUKH,22012012301,,
GOVT.PRIMARY SCHOOL WARD-1 MANSUKH,,MANSUKH,22012012302,,
GOVT.MIDDILE SCHOOL MANSUKH,,MANSUKH,22012012303,,
GOVT HIGHER SECONDARY SCHOOL MANSHUKH,,MANSUKH,22012012305,,
